NOMGARE;PAYS;VILLEDESSERVIE;X;Y;TGV
Barisey-la-Côte;France;Barisey-la-Cote;48,53363905;5,84005081; 
Barjac;France;Barjac;44,49935677;3,41056333; 
Bar-le-Duc Centre;France;Bar-Le-Duc;48,77318059;5,16778081;OUI
Barnay;France;Barnay;47,08668433;4,34001162; 
Barr;France;Barr;48,40304575;7,45690837; 
Barsac;France;Barsac;44,60412811;-0,32061089; 
Bartenheim;France;Bartenheim;47,63478866;7,48768694; 
Bas-en-Basset;France;Bas-en-Basset;45,29795876;4,13957348; 
Basse-Ham;France;Basse-Ham;49,38062111;6,2350865; 
Bassens;France;Bassens;44,90130544;-0,52239243; 
Bassignac;France;Bassignac;45,29148659;2,39508884; 
Batz-sur-Mer;France;Batz-sur-Mer;47,28089952;-2,47941618; 
Baudrecourt;France;Baudrecourt;48,96696;6,46345813; 
Baule;France;Baule;47,81147861;1,66781933; 
Baume-les-Dames;France;Baume-les-Dames;47,35404465;6,35910776; 
Bauvin;France;Bauvin;50,51162603;2,90501726; 
Bayard-sur-Marne;France;Bayard-sur-Marne;48,55152059;5,07627291; 
Bayeux;France;Bayeux;49,2694443;-0,69771168;
Bayon;France;Bayon;48,46764949;6,32218961; 
Bayonne;France;Bayonne;43,49700917;-1,47020459;OUI
Bazeilles;France;Bazeilles;49,67220533;4,98660021; 
Baziège;France;Baziege;43,45307376;1,62145792; 
Bazoches-sur-Vesles;France;Bazoches-sur-Vesles;49,30527719;3,61324979; 
Bazus;France;Bazus;43,73527876;1,515411; 
Béard;France;Beard;46,86505229;3,3179259; 
Beaucaire;France;Beaucaire;43,80216093;4,64731638; 
Beauchastel;France;Beauchastel;44,82717175;4,80541249; 
Beaugency;France;Beaugency;47,7782396;1,62571426;
Beaulieu;France;Beaulieu;45,45275115;3,3022076; 
Beaulieu-sur-Mer;France;Beaulieu-sur-Mer;43,70648108;7,33162652; 
Beaumont;France;Beaumont;46,72866738;0,44046699; 
Beaumont-de-Lomagne;France;Beaumont-de-Lomagne;43,88245366;0,98905302; 
Beaumont-le-Roger;France;Beaumont-le-Roger;49,07418071;0,77262494; 
Beaune;France;Beaune;47,0230407;4,8487235;OUI
Beaurainville;France;Beaurainville;50,4227246;1,89515864; 
Beautiran;France;Beautiran;44,7013885;-0,45091371; 
Beauvais;France;Beauvais;49,42622129;2,08793703;
Beauvoir-sur-Niort;France;Beauvoir-sur-Niort;46,17670162;-0,46916454; 
Beauvoisin;France;Beauvoisin;43,72493879;4,3220408; 
Beauzac;France;Beauzac;45,26051464;4,13807717; 
Beauzac;France;Beauzac;45,23567005;4,09425192; 
Bédarieux;France;Bedarieux;43,60763168;3,14900526; 
Bédarrides;France;Bedarrides;44,04273803;4,8937057; 
Bègles;France;Begles;44,79977689;-0,55534062; 
Béhuard;France;Behuard;47,38140265;-0,65479753; 
Belfort Centre;France;Belfort;47,63244694;6,85392444;
Belfort Montbéliard TGV (à 18km de Montbéliard et 12km de Belfort);France;Belfort - Montbéliard TGV;47,5819;6,8769;OUI
Béligneux;France;Beligneux;45,84899014;5,12430691; 
Bellac;France;Bellac;46,12591542;1,04665307; 
Bellegarde-sur-Valserine;France;Bellegarde-sur-Valserine;46,10966943;5,82330716;OUI
Belle-Isle-en-Terre;France;Belle-Isle-en-Terre;48,59334176;-3,32310331; 
Bellenaves;France;Bellenaves;46,20027133;3,06674108; 
Belleville;France;Belleville;48,81946115;6,10175334; 
Belleville Sur Saône;France;Belleville Sur Saone;46,1118853;4,7287019;
Belleville-sur-Vie;France;Belleville-sur-Vie;46,78833201;-1,43459608; 
Bellignat;France;Bellignat;46,23924669;5,63048319; 
Belloy-en-France;France;Belloy-en-France;49,09798656;2,36098238; 
Belvès;France;Belves;44,77729103;1,01190228; 
Belvezet;France;Belvezet;44,56186124;3,75188094; 
Belz;France;Belz;47,65256659;-3,07212224; 
